id_dpto;divipola;nombre;latitud;Longitud;SubregionPDET;zonaReservaCampesina;zomac ;ruralidad;restitucionTierras;zonaNucleoReforma;mape
15;15500;Oicatá;5,595235;-73,308399;No PDET;Sin zona;false;Rural disperso;false;No ZNRA;Ausencia
15;15507;Otanche;5,657536;-74,180965;No PDET;Sin zona;false;Rural;true;No ZNRA;Ausencia
15;15511;Pachavita;5,140065;-73,396953;No PDET;Sin zona;false;Rural disperso;false;No ZNRA;Ausencia
15;15514;Páez;5,097319;-73,052737;No PDET;Sin zona;false;Rural disperso;true;No ZNRA;Ausencia
15;15516;Paipa;5,779894;-73,11782;No PDET;Sin zona;false;Intermedio;true;No ZNRA;Ausencia
15;15518;Pajarito;5,293783;-72,703231;No PDET;Sin zona;true;Rural disperso;true;No ZNRA;Ausencia
15;15522;Panqueba;6,443416;-72,459424;No PDET;Sin zona;false;Rural;true;No ZNRA;Ausencia
15;15531;Pauna;5,656323;-73,978449;No PDET;Sin zona;false;Rural disperso;true;No ZNRA;Ausencia
15;15533;Paya;5,625699;-72,423775;No PDET;Sin zona;true;Rural disperso;true;No ZNRA;Ausencia
15;15537;Paz de río;5,987645;-72,749137;No PDET;Sin zona;false;Rural;false;No ZNRA;Ausencia
15;15542;Pesca;5,558808;-73,050872;No PDET;Sin zona;false;Rural disperso;true;No ZNRA;Ausencia
15;15550;Pisba;5,72141;-72,486023;No PDET;Sin zona;true;Rural disperso;true;No ZNRA;Ausencia
15;15572;Puerto boyacá;5,976646;-74,587782;No PDET;Sin zona;false;Intermedio;true;Magdalena Medio;Ausencia
15;15580;Quípama;5,52055;-74,180033;No PDET;Sin zona;false;Rural disperso;true;No ZNRA;Ausencia
15;15599;Ramiriquí;5,400303;-73,334839;No PDET;Sin zona;false;Intermedio;true;No ZNRA;Ausencia
15;15600;Ráquira;5,539136;-73,632543;No PDET;Sin zona;false;Rural;false;No ZNRA;Ausencia
15;15621;Rondón;5,357378;-73,208474;No PDET;Sin zona;false;Rural disperso;false;No ZNRA;Ausencia
15;15632;Saboyá;5,697756;-73,764456;No PDET;Sin zona;false;Rural disperso;false;No ZNRA;Ausencia
15;15638;Sáchica;5,584305;-73,542539;No PDET;Sin zona;false;Intermedio;false;No ZNRA;Ausencia
15;15646;Samacá;5,492161;-73,485589;No PDET;Santuario de Rabanal;false;Intermedio;true;No ZNRA;Ausencia
15;15660;San eduardo;5,22401;-73,077747;No PDET;Sin zona;false;Rural;true;No ZNRA;Ausencia
15;15664;San josé de pare;6,018924;-73,545397;No PDET;Sin zona;false;Rural;false;No ZNRA;Ausencia
15;15667;San luis de gaceno;4,81976;-73,168076;No PDET;Sin zona;false;Rural;true;No ZNRA;Ausencia
15;15673;San mateo;6,401683;-72,555264;No PDET;Sin zona;false;Rural;true;No ZNRA;Ausencia
15;15676;San miguel de sema;5,518083;-73,722009;No PDET;Sin zona;false;Rural;false;No ZNRA;Ausencia
15;15681;San pablo de borbur;5,650743;-74,069963;No PDET;Sin zona;false;Rural;true;No ZNRA;Ausencia
15;15686;Santana;6,056866;-73,481639;No PDET;Sin zona;false;Intermedio;true;No ZNRA;Ausencia
15;15690;Santa maría;4,857193;-73,263518;No PDET;Sin zona;false;Rural disperso;true;No ZNRA;Ausencia
15;15693;Santa rosa de viterbo;5,874547;-72,982461;No PDET;Sin zona;false;Intermedio;false;No ZNRA;Ausencia
15;15696;Santa sofía;5,713269;-73,602707;No PDET;Sin zona;false;Rural disperso;true;No ZNRA;Ausencia
15;15720;Sativanorte;6,131132;-72,708458;No PDET;Sin zona;false;Rural disperso;false;No ZNRA;Ausencia
15;15723;Sativasur;6,093183;-72,712435;No PDET;Sin zona;false;Rural disperso;false;No ZNRA;Ausencia
15;15740;Siachoque;5,511811;-73,24466;No PDET;Sin zona;false;Rural;false;No ZNRA;Ausencia
15;15753;Soatá;6,331945;-72,684051;No PDET;Sin zona;false;Intermedio;true;No ZNRA;Ausencia
15;15755;Socotá;6,041162;-72,636653;No PDET;Sin zona;false;Rural disperso;true;No ZNRA;Ausencia
15;15757;Socha;5,996717;-72,691963;No PDET;Sin zona;false;Rural;true;No ZNRA;Ausencia
15;15759;Sogamoso;5,723976;-72,924355;No PDET;Sin zona;false;Ciudades y aglomeraciones;true;No ZNRA;Ausencia
15;15761;Somondoco;4,985726;-73,433393;No PDET;Sin zona;false;Rural;false;No ZNRA;Ausencia
15;15762;Sora;5,56684;-73,450153;No PDET;Sin zona;false;Rural;false;No ZNRA;Ausencia
15;15763;Sotaquirá;5,764986;-73,246585;No PDET;Sin zona;false;Rural disperso;true;No ZNRA;Ausencia
15;15764;Soracá;5,500898;-73,332804;No PDET;Sin zona;false;Rural;false;No ZNRA;Ausencia
15;15774;Susacón;6,230332;-72,690289;No PDET;Sin zona;false;Rural;true;No ZNRA;Ausencia
15;15776;Sutamarchán;5,619781;-73,620536;No PDET;Sin zona;false;Rural;false;No ZNRA;Ausencia
15;15778;Sutatenza;5,022989;-73,452317;No PDET;Sin zona;false;Intermedio;false;No ZNRA;Ausencia
15;15790;Tasco;5,909821;-72,781011;No PDET;Sin zona;false;Rural disperso;false;No ZNRA;Ausencia
15;15798;Tenza;5,076781;-73,421176;No PDET;Sin zona;false;Rural;false;No ZNRA;Ausencia
15;15804;Tibaná;5,317251;-73,396457;No PDET;Sin zona;false;Rural;false;No ZNRA;Ausencia
15;15806;Tibasosa;5,74723;-72,999449;No PDET;Sin zona;false;Intermedio;false;No ZNRA;Ausencia
15;15808;Tinjacá;5,579713;-73,646847;No PDET;Sin zona;false;Rural disperso;false;No ZNRA;Ausencia
15;15810;Tipacoque;6,419203;-72,691729;No PDET;Sin zona;false;Rural disperso;true;No ZNRA;Ausencia
15;15814;Toca;5,566464;-73,184794;No PDET;Sin zona;false;Intermedio;false;No ZNRA;Ausencia
15;15816;Togüí;5,937438;-73,513655;No PDET;Toguí parte alta;false;Rural disperso;true;No ZNRA;Ausencia
15;15820;Tópaga;5,768201;-72,832245;No PDET;Sin zona;false;Intermedio;false;No ZNRA;Ausencia
15;15822;Tota;5,560497;-72,985898;No PDET;Sin zona;false;Rural disperso;true;No ZNRA;Ausencia
15;15832;Tununguá;5,730582;-73,933155;No PDET;Sin zona;false;Rural disperso;true;No ZNRA;Ausencia
15;15835;Turmequé;5,323261;-73,491825;No PDET;Sin zona;false;Intermedio;true;No ZNRA;Ausencia
15;15837;Tuta;5,689082;-73,230285;No PDET;Sin zona;false;Rural;true;No ZNRA;Ausencia
15;15839;Tutazá;6,032608;-72,856035;No PDET;Sin zona;false;Rural disperso;true;No ZNRA;Ausencia
15;15842;Úmbita;5,221176;-73,456917;No PDET;Sin zona;false;Rural;true;No ZNRA;Ausencia
15;15861;Ventaquemada;5,368739;-73,522368;No PDET;Santuario de Rabanal;false;Intermedio;false;No ZNRA;Ausencia
15;15879;Viracachá;5,436833;-73,296894;No PDET;Sin zona;false;Rural;true;No ZNRA;Ausencia
15;15897;Zetaquira;5,283443;-73,17098;No PDET;Sin zona;false;Rural disperso;true;No ZNRA;Ausencia
17;17001;Manizales;5,057657;-75,491025;No PDET;Sin zona;false;Ciudades y aglomeraciones;true;No ZNRA;Presencia
